location_id,location_type,address,baidu_lat,baidu_lng,city,title,province_state,region,sales_phone,trt_id,country
cnsc9772,"['supercharger', 'standard charger']",江苏省盐城市东台市迎宾大道80号中南城购物中心东北角地面停车场（入口：东侧无名道路）,32.8920830000,120.3209360000,东台,东台市中南城购物中心超级充电站（V3 | 新国标）,江苏,asia_pacific,400 910 0707,28637,中国大陆
cnsc9773,"['supercharger', 'standard charger']",江苏省扬州市仪征市长江东路与浦东路交叉路口万博怡华广场地下一层停车场（入口：长江东路与浦东路交叉路口）,32.2876090000,119.1616330000,仪征,仪征万博怡华广场超级充电站（V3 | 新国标）,江苏,asia_pacific,400 910 0707,29148,中国大陆
cnsc9774,"['supercharger', 'standard charger']",重庆市綦江区九龙大道168号名扬广场地下停车场B3层A区078车位对面（入口：九龙大道）,29.0369940000,106.6601870000,重庆,重庆市綦江名扬广场超级充电站（V3 | 新国标）,重庆,asia_pacific,400 910 0707,28566,中国大陆
cnsc9775,"['supercharger', 'standard charger']",上海市浦东新区白杨路646号亚朵酒店地面停车场（入口：白杨路）,31.2065140000,121.5626480000,上海,上海白杨新都汇超级充电站（V3 | 新国标）,上海,asia_pacific,400 910 0707,30627,中国大陆
cnbs154,['bodyshop'],安徽省阜阳市颍州区开发区新安大道1008号,32.8504860000,115.8695080000,阜阳,阜阳中源骏杰汽车销售服务有限公司,安徽,asia_pacific, 0558-2166292,0,中国大陆
cnsc9776,"['supercharger', 'standard charger']",山东省济南市市中区二环南路6638号中海环宇城购物中心地下停车场B2层近A-005车位（入口：九曲庄路）,36.6187250000,116.9870990000,济南,济南中海环宇城超级充电站（V3 | 新国标）,山东,asia_pacific,400 910 0707,29168,中国大陆
tianjintianhecity,['store'],天津市和平区和平路263号天河城购物中心,39.1330180000,117.2107040000,天津,天津天河城体验店,天津,asia_pacific, 022-81117108,28494,中国大陆
cnsc9777,"['supercharger', 'standard charger']",湖北省荆门市掇刀区国华汇金中心A座入口直行20米左侧室外停车场（入口：天山路与杨柳路交叉口东160米）,31.0069240000,112.1889220000,荆门,荆门国华汇金中心超级充电站（V3 | 新国标）,湖北,asia_pacific,400 910 0707,30813,中国大陆
cnsc9778,"['supercharger', 'standard charger']",湖北省武汉市硚口区解放大道32号凯德西城地下B2层C01区C017车位旁（入口：解放大道）,30.6044400000,114.2000900000,武汉,武汉凯德西城超级充电站（V3 | 新国标）,湖北,asia_pacific,400 910 0707,25941,中国大陆
cnsc9779,"['supercharger', 'standard charger']",广东省广州市海珠区官洲生命科学创新中心地面停车场（入口：寰宇三路）,23.0752090000,113.3822630000,广州,广州市官洲生命科学创新中心超级充电站（V3 | 新国标）,广东,asia_pacific,400 910 0707,28436,中国大陆
