name,site,lat,lng,areaShopTell,areaShopCity,areaShopCityCode,areaShopProvince,areaShopProvinceCode,shopServiceCategory,storeName
零跑中心梨园转盘店许昌,许昌市文兴路梨园转盘西300米南侧,33.982456,113.860703,03747333089,许昌市,411000,河南省,410000,"1,3,4,5,2",零跑中心
万达广场店许昌,魏文路与许都路交叉口东南角,34.029955,113.858707,13837451788,许昌市,411000,河南省,410000,"1,2",体验中心
三水万达广场店佛山,云东海街道南丰大道13号之一佛山三水万达广场室内步行街1F1005商铺,23.178926,112.904899,15989083612,佛山市,440600,广东省,440000,"1,2",体验中心
海八路金融城店佛山,佛山市南海区桂城街道海八路东路32号地铁金融城（南海天河城）101铺,23.06595,113.158545,17322759524,佛山市,440600,广东省,440000,"1,2",体验中心
铂顿城店佛山,建新路111号铂顿城商场,23.026339114812476,113.11368304898863,13686500588,佛山市,440600,广东省,440000,"1,2",体验中心
映月湖环宇城店佛山,桂城街道石龙南路6号南宇广场L1层108-1单元,23.033497,113.187543,0757-86259995,佛山市,440600,广东省,440000,"1,2",体验中心
顺德万达店佛山,大良街道南霞新路9号美的万达广场1楼1055铺位,22.793527,113.282778,19924140251,佛山市,440600,广东省,440000,"1,2",体验中心
顺德爱琴海店佛山,佛山市顺德区乐从镇裕和路110号爱琴海购物公园1楼F1026,22.963686,113.130833,18820801876,佛山市,440600,广东省,440000,"1,2",体验中心
金铂天地店佛山,佛山市南海区大沥镇黄岐建设大道33号万益广场S2栋一层124号商铺,23.142878,113.199601,13660690378,佛山市,440600,广东省,440000,"1,2",体验中心
环球港店佛山,祖庙街道季华六路19号佛山环球港L1-07号铺,23.012877474554163,113.14219632198024,18928666763,佛山市,440600,广东省,440000,"1,2",体验中心
伟业兴隆店佛山,大沥镇振兴路13号伟业华誉豪庭13栋伟业兴隆广场首层1F01C商铺,23.105562,113.120583,13318363868,佛山市,440600,广东省,440000,"1,2",体验中心
罗村益田假日天地店佛山,沿江北路1号（狮山益田假日天地一楼）,23.059918,113.045204,18029293195,佛山市,440600,广东省,440000,"1,2",体验中心
海八路店佛山,海八路华南汽车城G12号,23.067652,113.12666,,佛山市,440600,广东省,440000,"4,5",服务中心
桂澜路店佛山,桂城街道桂澜路7号,23.002362,113.154081,null,佛山市,440600,广东省,440000,"4,5",服务中心
南丰大道店佛山,佛山市三水区云东海街道南丰大道81号商铺4,23.178557,112.905487,,佛山市,440600,广东省,440000,"5,4",服务中心
三水新动力广场店佛山,"西南街道西青大道新动力广场一层A31,A32号",23.172862,112.868182,13728503612,佛山市,440600,广东省,440000,"1,2",体验中心
顺德店佛山,广东省佛山市顺德区大良新桂中路愉景花园A52号地铺锐博汽车维修,22.828665,113.271323,null,佛山市,440600,广东省,440000,"4,5",服务中心
广珠路店佛山,广东省佛山市顺德区广珠公路与顺德立交桥交叉口南100米,22.859273,113.229326,null,佛山市,440600,广东省,440000,"3,4,5",服务中心
顺德店佛山,佛山市顺德区大良府又社区环市东路42号港安楼之2（3号铺）,22.828229,113.264911,18075521716,佛山市,440600,广东省,440000,"1,2",体验中心
桂丹西路店佛山,丹灶镇金兴路13号,23.06,112.96,,佛山市,440600,广东省,440000,"4,5",服务中心
香江国际汽车城店长沙,湖南省长沙市开福区香江国际汽车城C馆零跑汽车,28.294022,112.986305,,长沙市,430100,湖南省,430000,"3,4,5,2,1",零跑中心
方圆荟店长沙,芙蓉北路街道金泰路199号湘江世纪城富湾国际,28.251731,112.97929,15973002416,长沙市,430100,湖南省,430000,"1,2",体验中心
凯德壹中心店长沙,观沙岭街道茶子山东路112号凯德壹中心LG层LG-11号,28.242153,112.957512,18975007117,长沙市,430100,湖南省,430000,"1,2",体验中心
中南汽车店长沙,湖南省长沙市长沙县中南汽车世界H18栋,28.236782,113.0678,18075110820,长沙市,430100,湖南省,430000,"1,2,3,4,5",零跑中心
万达广场店长沙,湘江中路589号万达广场 1楼1058A,28.198709,112.971022,18974931630,长沙市,430100,湖南省,430000,"1,2",体验中心
环宇城店长沙,中意二路111号中海环宇城购物中心L1层L1-28-1-U单元,28.068282,112.986038,15084820287,长沙市,430100,湖南省,430000,"1,2",体验中心
龙湖天街店长沙,长沙市岳麓区东方红路步步高梅溪湖商业中心B区2001号,28.20,112.86,18569450234,长沙市,430100,湖南省,430000,"1,2",体验中心
